SalesOrderNumber,SalesOrderLineNumber,SalesTerritoryKey,ResellerKey,PromotionKey,ProductKey,OrderQuantity,UnitPrice,OrderDate
SO45779,1,5,676,1,348,2,2024.994,2021-09-29 00:00:00.000
SO45779,2,5,676,1,350,2,2024.994,2021-09-29 00:00:00.000
SO45779,3,5,676,1,351,2,2024.994,2021-09-29 00:00:00.000
SO45779,4,5,676,1,347,2,2039.994,2021-09-29 00:00:00.000
SO45779,5,5,676,1,307,1,722.5949,2021-09-29 00:00:00.000
SO45779,6,5,676,1,292,1,818.7,2021-09-29 00:00:00.000
SO45779,7,5,676,1,229,1,28.8404,2021-09-29 00:00:00.000
SO45779,8,5,676,1,232,1,28.8404,2021-09-29 00:00:00.000
SO45779,9,5,676,1,235,2,28.8404,2021-09-29 00:00:00.000
SO45779,10,5,676,1,218,5,5.7,2021-09-29 00:00:00.000
SO45779,11,5,676,1,223,3,5.1865,2021-09-29 00:00:00.000
SO45779,12,5,676,1,220,2,20.1865,2021-09-29 00:00:00.000
SO45779,13,5,676,1,212,1,20.1865,2021-09-29 00:00:00.000
SO45779,14,5,676,1,215,2,20.1865,2021-09-29 00:00:00.000
SO45780,1,6,442,1,349,2,2024.994,2021-09-29 00:00:00.000
SO45780,2,6,442,1,232,2,28.8404,2021-09-29 00:00:00.000
SO45780,3,6,442,1,229,1,28.8404,2021-09-29 00:00:00.000
SO45780,4,6,442,1,296,2,714.7043,2021-09-29 00:00:00.000
SO45780,5,6,442,1,346,2,2039.994,2021-09-29 00:00:00.000
SO45780,6,6,442,1,223,4,5.1865,2021-09-29 00:00:00.000
SO45780,7,6,442,1,299,1,809.76,2021-09-29 00:00:00.000
SO45780,8,6,442,1,350,2,2024.994,2021-09-29 00:00:00.000
SO45780,9,6,442,1,347,2,2039.994,2021-09-29 00:00:00.000
SO45780,10,6,442,1,220,6,20.1865,2021-09-29 00:00:00.000
SO45780,11,6,442,1,215,1,20.1865,2021-09-29 00:00:00.000
SO45780,12,6,442,1,235,2,28.8404,2021-09-29 00:00:00.000
SO45780,13,6,442,1,212,1,20.1865,2021-09-29 00:00:00.000
SO45780,14,6,442,1,345,5,2039.994,2021-09-29 00:00:00.000
SO45780,15,6,442,1,288,1,722.5949,2021-09-29 00:00:00.000
SO45780,16,6,442,1,307,2,722.5949,2021-09-29 00:00:00.000
SO45781,1,6,227,1,232,2,28.8404,2021-09-29 00:00:00.000
SO45781,2,6,227,1,336,3,419.4589,2021-09-29 00:00:00.000
SO45781,3,6,227,1,324,6,419.4589,2021-09-29 00:00:00.000
SO45781,4,6,227,1,338,4,419.4589,2021-09-29 00:00:00.000
SO45781,5,6,227,1,332,2,419.4589,2021-09-29 00:00:00.000
SO45781,6,6,227,1,334,2,419.4589,2021-09-29 00:00:00.000
SO45781,7,6,227,1,319,8,874.794,2021-09-29 00:00:00.000
SO45781,8,6,227,1,314,1,2146.962,2021-09-29 00:00:00.000
SO45781,9,6,227,1,315,4,874.794,2021-09-29 00:00:00.000
SO45781,10,6,227,1,316,4,874.794,2021-09-29 00:00:00.000
SO45781,11,6,227,1,262,3,183.9382,2021-09-29 00:00:00.000
SO45781,12,6,227,1,326,9,419.4589,2021-09-29 00:00:00.000
SO45781,13,6,227,1,275,3,356.898,2021-09-29 00:00:00.000
SO45781,14,6,227,1,241,3,758.0759,2021-09-29 00:00:00.000
SO45781,15,6,227,1,270,1,183.9382,2021-09-29 00:00:00.000
SO45781,16,6,227,1,272,2,183.9382,2021-09-29 00:00:00.000
SO45781,17,6,227,1,342,5,419.4589,2021-09-29 00:00:00.000
SO45781,18,6,227,1,285,2,178.5808,2021-09-29 00:00:00.000
SO45781,19,6,227,1,322,4,419.4589,2021-09-29 00:00:00.000
SO45781,20,6,227,1,317,6,874.794,2021-09-29 00:00:00.000
SO45781,21,6,227,1,253,4,178.5808,2021-09-29 00:00:00.000
SO45781,22,6,227,1,264,1,183.9382,2021-09-29 00:00:00.000
SO45781,23,6,227,1,238,4,758.0759,2021-09-29 00:00:00.000
SO45781,24,6,227,1,276,2,356.898,2021-09-29 00:00:00.000
SO45781,25,6,227,1,266,1,183.9382,2021-09-29 00:00:00.000
SO45781,26,6,227,1,279,1,178.5808,2021-09-29 00:00:00.000
SO45782,1,1,146,1,296,2,714.7043,2021-09-29 00:00:00.000
SO45782,2,1,146,1,351,2,2024.994,2021-09-29 00:00:00.000
SO45782,3,1,146,1,229,2,28.8404,2021-09-29 00:00:00.000
SO45782,4,1,146,3,218,18,5.225,2021-09-29 00:00:00.000
SO45782,5,1,146,1,292,2,818.7,2021-09-29 00:00:00.000
SO45782,6,1,146,1,220,2,20.1865,2021-09-29 00:00:00.000
SO45782,7,1,146,1,215,2,20.1865,2021-09-29 00:00:00.000
SO45782,8,1,146,1,349,2,2024.994,2021-09-29 00:00:00.000
SO45782,9,1,146,1,347,4,2039.994,2021-09-29 00:00:00.000
SO45782,10,1,146,1,350,2,2024.994,2021-09-29 00:00:00.000
SO45782,11,1,146,1,212,1,20.1865,2021-09-29 00:00:00.000
SO45782,12,1,146,1,348,2,2024.994,2021-09-29 00:00:00.000
SO45782,13,1,146,1,344,2,2039.994,2021-09-29 00:00:00.000
SO45782,14,1,146,1,307,1,722.5949,2021-09-29 00:00:00.000
SO45782,15,1,146,1,232,1,28.8404,2021-09-29 00:00:00.000
SO45782,16,1,146,1,345,4,2039.994,2021-09-29 00:00:00.000
SO45782,17,1,146,1,223,2,5.1865,2021-09-29 00:00:00.000
SO45782,18,1,146,1,235,1,28.8404,2021-09-29 00:00:00.000
SO45783,1,1,397,1,344,2,2039.994,2021-09-29 00:00:00.000
SO45783,2,1,397,1,235,1,28.8404,2021-09-29 00:00:00.000
SO45783,3,1,397,1,345,2,2039.994,2021-09-29 00:00:00.000
SO45783,4,1,397,1,347,2,2039.994,2021-09-29 00:00:00.000
SO45783,5,1,397,2,218,12,5.51,2021-09-29 00:00:00.000
SO45783,6,1,397,1,350,4,2024.994,2021-09-29 00:00:00.000
SO45783,7,1,397,1,348,2,2024.994,2021-09-29 00:00:00.000
SO45783,8,1,397,1,296,1,714.7043,2021-09-29 00:00:00.000
SO45783,9,1,397,1,292,1,818.7,2021-09-29 00:00:00.000
SO45784,1,4,511,1,310,1,2146.962,2021-09-29 00:00:00.000
SO45784,2,4,511,1,324,1,419.4589,2021-09-29 00:00:00.000
SO45784,3,4,511,1,334,2,419.4589,2021-09-29 00:00:00.000
SO45784,4,4,511,1,276,1,356.898,2021-09-29 00:00:00.000
SO45785,1,3,646,1,232,2,28.8404,2021-09-29 00:00:00.000
SO45785,2,3,646,1,347,4,2039.994,2021-09-29 00:00:00.000
SO45785,3,3,646,1,344,3,2039.994,2021-09-29 00:00:00.000
SO45785,4,3,646,1,346,2,2039.994,2021-09-29 00:00:00.000
SO45785,5,3,646,1,345,2,2039.994,2021-09-29 00:00:00.000
SO45785,6,3,646,1,218,2,5.7,2021-09-29 00:00:00.000
SO45785,7,3,646,1,219,2,5.7,2021-09-29 00:00:00.000
SO45785,8,3,646,1,223,4,5.1865,2021-09-29 00:00:00.000
SO45785,9,3,646,1,348,2,2024.994,2021-09-29 00:00:00.000
SO45785,10,3,646,1,349,3,2024.994,2021-09-29 00:00:00.000
SO45785,11,3,646,1,351,2,2024.994,2021-09-29 00:00:00.000
SO45785,12,3,646,1,350,2,2024.994,2021-09-29 00:00:00.000
SO45786,1,6,514,1,315,9,874.794,2021-09-29 00:00:00.000
SO45786,2,6,514,1,310,2,2146.962,2021-09-29 00:00:00.000
SO45786,3,6,514,1,276,1,356.898,2021-09-29 00:00:00.000
SO45786,4,6,514,1,223,2,5.1865,2021-09-29 00:00:00.000
SO45786,5,6,514,1,328,3,419.4589,2021-09-29 00:00:00.000
SO45786,6,6,514,1,330,5,419.4589,2021-09-29 00:00:00.000
SO45786,7,6,514,1,317,7,874.794,2021-09-29 00:00:00.000
SO45786,8,6,514,1,316,2,874.794,2021-09-29 00:00:00.000
SO45786,9,6,514,1,215,3,20.1865,2021-09-29 00:00:00.000
SO45786,10,6,514,1,212,2,20.1865,2021-09-29 00:00:00.000
SO45786,11,6,514,1,229,2,28.8404,2021-09-29 00:00:00.000
SO45786,12,6,514,1,253,5,178.5808,2021-09-29 00:00:00.000
SO45786,13,6,514,1,334,4,419.4589,2021-09-29 00:00:00.000
SO45786,14,6,514,1,270,4,183.9382,2021-09-29 00:00:00.000
SO45786,15,6,514,1,326,8,419.4589,2021-09-29 00:00:00.000
SO45786,16,6,514,1,285,2,178.5808,2021-09-29 00:00:00.000
SO45786,17,6,514,1,322,6,419.4589,2021-09-29 00:00:00.000
SO45786,18,6,514,1,340,2,419.4589,2021-09-29 00:00:00.000
SO45786,19,6,514,1,272,1,183.9382,2021-09-29 00:00:00.000
SO45786,20,6,514,1,314,5,2146.962,2021-09-29 00:00:00.000
SO45786,21,6,514,1,324,9,419.4589,2021-09-29 00:00:00.000
SO45786,22,6,514,1,275,2,356.898,2021-09-29 00:00:00.000
SO45786,23,6,514,1,235,1,28.8404,2021-09-29 00:00:00.000
SO45786,24,6,514,2,342,13,405.477,2021-09-29 00:00:00.000
SO45786,25,6,514,1,241,1,758.0759,2021-09-29 00:00:00.000
SO45786,26,6,514,1,332,9,419.4589,2021-09-29 00:00:00.000
SO45786,27,6,514,1,319,9,874.794,2021-09-29 00:00:00.000
SO45786,28,6,514,1,264,4,183.9382,2021-09-29 00:00:00.000
SO45786,29,6,514,1,338,2,419.4589,2021-09-29 00:00:00.000
SO45787,1,3,504,1,345,2,2039.994,2021-09-29 00:00:00.000
SO45787,2,3,504,1,218,8,5.7,2021-09-29 00:00:00.000
SO45787,3,3,504,1,346,1,2039.994,2021-09-29 00:00:00.000
SO45787,4,3,504,1,350,1,2024.994,2021-09-29 00:00:00.000
SO45787,5,3,504,1,348,1,2024.994,2021-09-29 00:00:00.000
SO45787,6,3,504,1,219,2,5.7,2021-09-29 00:00:00.000
SO45788,1,4,383,1,322,1,419.4589,2021-09-29 00:00:00.000
SO45788,2,4,383,1,319,2,874.794,2021-09-29 00:00:00.000
SO45789,1,1,578,1,288,2,722.5949,2021-09-29 00:00:00.000
SO45789,2,1,578,1,299,2,809.76,2021-09-29 00:00:00.000
SO45790,1,1,200,1,314,1,2146.962,2021-09-29 00:00:00.000
SO45790,2,1,200,1,272,1,183.9382,2021-09-29 00:00:00.000
SO45790,3,1,200,1,264,3,183.9382,2021-09-29 00:00:00.000
SO45791,1,3,643,1,319,1,874.794,2021-09-29 00:00:00.000
SO45791,2,3,643,1,326,3,419.4589,2021-09-29 00:00:00.000
SO45791,3,3,643,1,324,1,419.4589,2021-09-29 00:00:00.000
SO45791,4,3,643,1,328,1,419.4589,2021-09-29 00:00:00.000
SO45791,5,3,643,1,342,1,419.4589,2021-09-29 00:00:00.000
SO45792,1,6,119,1,349,2,2024.994,2021-09-29 00:00:00.000
SO45792,2,6,119,1,351,2,2024.994,2021-09-29 00:00:00.000
SO45792,3,6,119,1,347,2,2039.994,2021-09-29 00:00:00.000
SO45792,4,6,119,1,296,1,714.7043,2021-09-29 00:00:00.000
SO45792,5,6,119,1,292,2,818.7,2021-09-29 00:00:00.000
SO45792,6,6,119,1,307,1,722.5949,2021-09-29 00:00:00.000
SO45792,7,6,119,1,344,2,2039.994,2021-09-29 00:00:00.000
SO45792,8,6,119,1,346,4,2039.994,2021-09-29 00:00:00.000
SO45792,9,6,119,1,218,6,5.7,2021-09-29 00:00:00.000
SO45792,10,6,119,1,348,2,2024.994,2021-09-29 00:00:00.000
SO45793,1,2,618,1,232,2,28.8404,2021-09-29 00:00:00.000
SO45793,2,2,618,1,336,1,419.4589,2021-09-29 00:00:00.000
SO45793,3,2,618,1,338,2,419.4589,2021-09-29 00:00:00.000
SO45793,4,2,618,1,314,3,2146.962,2021-09-29 00:00:00.000
SO45793,5,2,618,1,334,3,419.4589,2021-09-29 00:00:00.000
SO45793,6,2,618,1,326,1,419.4589,2021-09-29 00:00:00.000
SO45793,7,2,618,1,262,2,183.9382,2021-09-29 00:00:00.000
SO45793,8,2,618,1,316,1,874.794,2021-09-29 00:00:00.000
SO45793,9,2,618,1,235,1,28.8404,2021-09-29 00:00:00.000
SO45793,10,2,618,1,317,1,874.794,2021-09-29 00:00:00.000
SO45793,11,2,618,1,330,4,419.4589,2021-09-29 00:00:00.000
SO45793,12,2,618,1,315,3,874.794,2021-09-29 00:00:00.000
SO45793,13,2,618,1,340,1,419.4589,2021-09-29 00:00:00.000
SO45793,14,2,618,1,322,2,419.4589,2021-09-29 00:00:00.000
SO45793,15,2,618,1,318,1,874.794,2021-09-29 00:00:00.000
SO45793,16,2,618,1,324,1,419.4589,2021-09-29 00:00:00.000
SO45793,17,2,618,1,332,1,419.4589,2021-09-29 00:00:00.000
SO45793,18,2,618,1,312,3,2146.962,2021-09-29 00:00:00.000
SO45793,19,2,618,1,285,2,178.5808,2021-09-29 00:00:00.000
SO45793,20,2,618,1,342,2,419.4589,2021-09-29 00:00:00.000
SO45793,21,2,618,1,229,3,28.8404,2021-09-29 00:00:00.000
SO45793,22,2,618,1,223,1,5.1865,2021-09-29 00:00:00.000
SO45793,23,2,618,1,215,2,20.1865,2021-09-29 00:00:00.000
SO45793,24,2,618,1,212,3,20.1865,2021-09-29 00:00:00.000
SO45794,1,6,83,1,322,4,419.4589,2021-09-29 00:00:00.000
SO45794,2,6,83,1,328,3,419.4589,2021-09-29 00:00:00.000
SO45794,3,6,83,1,315,1,874.794,2021-09-29 00:00:00.000
